"Invoice No.","Invoice Date","Seq","Status","Bill-to","Bill-to Name","Ship-to","Ship-To Name","Order Type","Order No.","Order Date","Pieces*","Cartons*","Amount*`","Delivery Date","Cancel Date","Ship Via","Cxl/Void Date","Consolidator","Approval No.","Sales Order","Factor","Div/Dept/Class","Salesperson","Reference","Shipped Date","Store No","Must Arrive Date","Rank", 
"101052","11/01/2013","75","Billed","DG0001","DOLGENCORP LLC","000522","DOLLAR GENERAL,LLC.","Original Order","F0Y5MM","10/30/2013","10272","214","30816.00","11/10/2013","11/10/2013","CALL TO ROUTE","","","592554","001187","W","PB-GN-3BS","DS","RGG049","","","","",
"101053","11/01/2013","76","Billed","DG0001","DOLGENCORP LLC","000524","DOLLAR GENERAL,LLC.","Original Order","F0Y5MN","10/30/2013","11856","247","35568.00","11/10/2013","11/10/2013","CALL TO ROUTE","","","592554","001188","W","PB-GN-3BS","DS","RGG049","","","","",
"101054","11/01/2013","77","Billed","DG0001","DOLGENCORP LLC","000525","DOLLAR GENERAL,LLC.","Original Order","F0Y5MP","10/30/2013","10560","220","31680.00","11/10/2013","11/10/2013","CALL TO ROUTE","","","592554","001189","W","PB-GN-3BS","DS","RGG049","","","","",
"101055","11/01/2013","78","Billed","DG0001","DOLGENCORP LLC","000526","DOLLAR GENERAL,LLC.","Original Order","F0Y5MQ","10/30/2013","11184","233","33552.00","11/10/2013","11/10/2013","CALL TO ROUTE","","","592554","001190","W","PB-GN-3BS","DS","RGG049","","","","",
"101056","11/01/2013","79","Billed","DG0001","DOLGENCORP LLC","000527","DOLLAR GENERAL,LLC.","Original Order","F0Y5MR","10/30/2013","7200","150","21600.00","11/10/2013","11/10/2013","CALL TO ROUTE","","","592554","001191","W","PB-GN-3BS","DS","RGG049","","","","",
"101057","11/01/2013","80","Billed","DG0001","DOLGENCORP LLC","000528","DOLLAR GENERAL,LLC.","Original Order","F0Y5MT","10/30/2013","9936","207","29808.00","11/10/2013","11/10/2013","CALL TO ROUTE","","","592554","001192","W","PB-GN-3BS","DS","RGG049","","","","",
"101058","11/01/2013","81","Billed","DG0001","DOLGENCORP LLC","000529","DOLLAR GENERAL,LLC.","Original Order","F0Y5MV","10/30/2013","10608","221","31824.00","11/10/2013","11/10/2013","CALL TO ROUTE","","","592554","001193","W","PB-GN-3BS","DS","RGG049","","","","",
"101059","11/01/2013","82","Billed","DG0001","DOLGENCORP LLC","000530","DOLLAR GENERAL,LLC.","Original Order","F0Y5MW","10/30/2013","2208","46","6624.00","11/10/2013","11/10/2013","CALL TO ROUTE","","","592554","001194","W","PB-GN-3BS","DS","RGG049","","","","",
"101068","11/04/2013","83","Billed","MA0001","THE MARMAXX GROUP","MA0001","MARSHALLS","Original Order","03 919814","10/31/2013","1848","154","6930.00","11/05/2013","11/12/2013","CALL TO ROUTE","","","606042","001207","W","PB-GI-2PJ","AF","RGG053","","","","",
"101070","11/05/2013","84","Billed","BN0001","BEN ELIAS INDUSTRIES","BN0001","BEN ELIAS INDUSTRIES","Original Order","E 29050","11/04/2013","     2992","     2992","    19,448.00","11/04/2013","11/15/2013","CALL TO ROUTE","","","663371","001230","W","PB-B4-000","AF","RGG055","","","","",
"101078","11/05/2013","85","Billed","TJ0001","TJ MAXX","TJ0899","TJ MAXX","Original Order","30 919798","11/04/2013","1242","164","4657.50","11/05/2013","11/12/2013","CALL TO ROUTE","","","654420","001235","W","PB-BI-2PJ","AF","RGG058","","","","",
"101072","11/05/2013","86","Billed","TK0001","TK MAXX","TK0001","TK MAXX","Original Order","50 155959","11/05/2013","1788","171","5226.00","11/06/2013","11/12/2013","CALL TO ROUTE","","","654541","001236","W","PB-BN-000","AF","RGG057","","","","",
"101075","11/05/2013","87","Billed","TK0001","TK MAXX","TK0001","TK MAXX","Original Order","55 155960","11/05/2013","432","36","1392.00","11/06/2013","11/12/2013","CALL TO ROUTE","","","654541","001237","W","PB-BN-000","AF","RGG057","","","","",
"101083","11/07/2013","88","Billed","TK0001","TK MAXX","TK0001","TK MAXX","Original Order","50 155966","11/05/2013","1410","157","2820.00","11/06/2013","11/12/2013","CALL TO ROUTE","","","654541","001238","W","PB-BT-000","AF","RGG060","","","","",
"101071","11/05/2013","89","Billed","BN0001","BEN ELIAS INDUSTRIES","BN0001","BEN ELIAS INDUSTRIES","Original Order","124787","07/19/2013","      624","       52","     2,496.00","07/19/2013","07/19/2013","CALL TO ROUTE","","","215375","001239","W","PB-GT-3SS","JB","RGG056","","","","",
"101084","11/07/2013","90","Billed","TK0001","TK MAXX","TK0001","TK MAXX","Original Order","55 155967","11/05/2013","738","83","1476.00","11/06/2013","11/12/2013","CALL TO ROUTE","","","654541","001240","W","PB-BT-000","AF","RGG060","","","","",
"101074","11/05/2013","91","Billed","TK0001","TK MAXX","TK0001","TK MAXX","Original Order","50 155968","11/05/2013","912","152","1824.00","11/06/2013","11/12/2013","CALL TO ROUTE","","","654541","001241","W","PB-GI-TSL","AF","RGG057","","","","",
"101077","11/05/2013","92","Billed","TK0001","TK MAXX","TK0001","TK MAXX","Original Order","55 155969","11/05/2013","510","85","1020.00","11/06/2013","11/12/2013","CALL TO ROUTE","","","654541","001242","W","PB-GI-TSL","AF","RGG057","","","","",
"101079","11/06/2013","93","Billed","TK0001","TK MAXX","TK0001","TK MAXX","Original Order","50 156593","11/06/2013","2916","243","15087.00","11/06/2013","11/15/2013","CALL TO ROUTE","","","654541","001243","W","PB-BN-3BS","AF","RGG059","","","","",
"101080","11/06/2013","94","Billed","TK0001","TK MAXX","TK0001","TK MAXX","Original Order","55 156594","11/06/2013","720","60","3720.00","11/06/2013","11/15/2013","CALL TO ROUTE","","","654541","001244","W","PB-BN-3BS","AF","RGG059","","","","",
