textbox67,Description,CreationDate,WarehouseTransactionID,ReferenceNum,PONum,Carrier,Company,EarliestShipDate,ShipCancelDate,textbox32,Notes
Warehouse: Warehouse 6,JDE Associates,2/26/2014,186770,102025,12121,dm transport,KIDS FOR LESS STORE #9,2/25/2014,3/5/2014,3/7/2014 00:00,"2014/03/07 13:41 - ready to ship
all BOL supplied by dm "
Warehouse: Warehouse 6,JDE Associates,2/26/2014,186771,102026,12122,dm transport,KIDS FOR LESS STORE #9,2/25/2014,3/2/2014,3/7/2014 00:00,"2014/03/07 13:41 - ready to ship
all BOL supplied by dm "
Warehouse: Warehouse 6,JDE Associates,2/26/2014,186772,102027,12123,dm transport,KIDS FOR LESS STORE #9,2/25/2014,3/5/2014,3/7/2014 00:00,"2014/03/07 13:41 - ready to ship
all BOL supplied by dm "
Warehouse: Warehouse 6,JDE Associates,2/26/2014,186773,102028,12121,dm transport,KIDS FOR LESS STORE #40,2/25/2014,3/5/2014,3/7/2014 00:00,"2014/03/07 13:41 - ready to ship
all BOL supplied by dm "
Warehouse: Warehouse 6,JDE Associates,2/26/2014,186774,102029,12122,dm transport,KIDS FOR LESS STORE #40,2/25/2014,3/5/2014,3/7/2014 00:00,"2014/03/07 13:41 - ready to ship
all BOL supplied by dm "
Warehouse: Warehouse 6,JDE Associates,2/26/2014,186775,102030,12123,dm transport,KIDS FOR LESS STORE #40,2/25/2014,3/5/2014,3/7/2014 00:00,"2014/03/07 13:41 - ready to ship
all BOL supplied by dm "
Warehouse: Warehouse 6,JDE Associates,2/26/2014,186776,102031,12121,dm transport,KIDS FOR LESS STORE #41,2/25/2014,3/5/2014,3/7/2014 00:00,"2014/03/07 13:41 - ready to ship
all BOL supplied by dm "
Warehouse: Warehouse 6,JDE Associates,2/26/2014,186777,102032,12122,dm transport,KIDS FOR LESS STORE #41,2/25/2014,3/5/2014,3/7/2014 00:00,"2014/03/07 13:41 - ready to ship
all BOL supplied by dm "
Warehouse: Warehouse 6,JDE Associates,2/26/2014,186778,102033,12123,dm transport,KIDS FOR LESS STORE #41,2/25/2014,3/5/2014,3/7/2014 00:00,"2014/03/07 13:41 - ready to ship
all BOL supplied by dm "
Warehouse: Warehouse 6,JDE Associates,2/26/2014,186779,102034,12121,dm transport,KIDS FOR LESS STORE #50,2/25/2014,3/5/2014,3/7/2014 00:00,"2014/03/07 13:41 - ready to ship
all BOL supplied by dm "
